"module","model","field","field_description","ttype","required","relation"
"tradeline_payment_store_excel","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_payment_store_excel","report.excel",,"Last Updated on","datetime","False",""
"tradeline_payment_store_excel","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_payment_store_excel","report.excel",,"Created on","datetime","False",""
"tradeline_payment_store_excel","report.excel",,"Last Modified on","datetime","False",""
"tradeline_payment_store_excel","report.excel",,"Display Name","char","False",""
"tradeline_payment_store_excel","report.excel",,"Created by","many2one","False","res.users"
"tradeline_po_ref_invocie_report","account.invoice.report",,"Po Ref","char","False",""
"tradeline_report_tax","account.invoice.report",,"Tax","char","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"ID","integer","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Excel File","char","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_sales_rep_payment_report_excel","report.excel",,"Last Updated on","datetime","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Created on","datetime","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Last Modified on","datetime","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Display Name","char","False",""
"tradeline_sales_rep_payment_report_excel","report.excel",,"Created by","many2one","False","res.users"
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"ID","integer","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Click On Save As Button To Download File","binary","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Location","many2one","False","stock.warehouse"
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Last Updated on","datetime","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Display Name","char","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Created on","datetime","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Last Modified on","datetime","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Created by","many2one","False","res.users"
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Date To","date","False",""
"tradeline_stock_Abm_and_sales_qty_excel","stock.abm.report.wizard",,"Date From","date","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"ID","integer","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Click On Save As Button To Download File","binary","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Location","many2one","False","stock.warehouse"
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Last Updated on","datetime","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Display Name","char","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Created on","datetime","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Last Modified on","datetime","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Created by","many2one","False","res.users"
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Date To","date","False",""
"tradeline_stock_quant_and_sales_qty_excel","stock.report.wizard",,"Date From","date","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"ID","integer","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Click On Save As Button To Download File","binary","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Locations","many2many","False","stock.location"
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Last Updated on","datetime","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Created on","datetime","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Last Modified on","datetime","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Created by","many2one","False","res.users"
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Display Name","char","False",""
"tradeline_stock_quant_excel","apple.stock.report.wizard",,"Current User","many2one","False","res.users"
"tradeline_store_quant_excel","store.report.wizard",,"ID","integer","False",""
"tradeline_store_quant_excel","store.report.wizard",,"Click On Save As Button To Download File","binary","False",""
"tradeline_store_quant_excel","store.report.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_store_quant_excel","store.report.wizard",,"Last Updated on","datetime","False",""
"tradeline_store_quant_excel","store.report.wizard",,"Created on","datetime","False",""
"tradeline_store_quant_excel","store.report.wizard",,"Last Modified on","datetime","False",""
"tradeline_store_quant_excel","store.report.wizard",,"Display Name","char","False",""
"tradeline_store_quant_excel","store.report.wizard",,"Created by","many2one","False","res.users"
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Click On Save As Button To Download File","binary","False",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Display Name","char","False",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"ID","integer","False",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Last Updated on","datetime","False",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Created on","datetime","False",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Last Modified on","datetime","False",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"Created by","many2one","False","res.users"
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"To","date","True",""
"tradeline_store_quant_sold_and_qty_stock_excel","store.report.qty.sold.stock.wizard",,"From","date","True",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"ID","integer","False",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Click On Save As Button To Download File","binary","False",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Last Updated on","datetime","False",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Created on","datetime","False",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Last Modified on","datetime","False",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Display Name","char","False",""
"tradeline_store_quant_sold_excel","store.report.qty.sold.wizard",,"Created by","many2one","False","res.users"
